ALZR11;Alianza Trust Renda Imobiliaria Fundo Investimento Imobiliario
ABEV3;Ambev S.A.
ARZZ3;Arezzo Indústria e Comércio S.A.
AZUL4;Azul S.A.
BTOW3;B2W Companhia Digital
B3SA3;B3 S.A. - Brasil, Bolsa, Balcão
BBDC3;Banco Bradesco S.A.
BBDC4;Banco Bradesco S.A.
BBAS3;Banco do Brasil S.A.
BRSR6;Banco do Estado do Rio Grande do Sul S.A.
BIDI4;Banco Inter S.A.
BIDI3;Banco Inter S.A.
SANB3;Banco Santander (Brasil) S.A.
SANB11;Banco Santander (Brasil) S.A.
BBPO11;BB Progressivo II Fundo de Investimento Imobiliario - FII
BBSE3;BB Seguridade Participações S.A.
BRML3;BR Malls Participações S.A.
BRAP4;Bradespar S.A.
BRAP3;Bradespar S.A.
BRKM5;Braskem S.A.
BRKM3;Braskem S.A.
BRFS3;BRF S.A.
CAML3;Camil Alimentos S.A.
CCRO3;CCR S.A.
ELET3;Centrais Elétricas Brasileiras S.A. - Eletrobras
ELET6;Centrais Elétricas Brasileiras S.A. - Eletrobras
HGTX3;Cia. Hering
CIEL3;Cielo S.A.
COGN3;Cogna Educação S.A.
PCAR4;Companhia Brasileira de Distribuição
SBSP3;Companhia de Saneamento Básico do Estado de São Paulo - SABESP
CMIG3;Companhia Energética de Minas Gerais
CMIG4;Companhia Energética de Minas Gerais
CPLE6;Companhia Paranaense de Energia - COPEL
CPLE3;Companhia Paranaense de Energia - COPEL
CSNA3;Companhia Siderúrgica Nacional
CSAN3;Cosan S.A.
CPFE3;CPFL Energia S.A.
HGLG11;CSHG Logistica - Fundo De Investimento Imobiliario
CVCB3;CVC Brasil Operadora e Agência de Viagens S.A.
CYRE3;Cyrela Brazil Realty S.A. Empreendimentos e Participações
ECOR3;EcoRodovias Infraestrutura e Logística S.A.
ENBR3;EDP - Energias do Brasil S.A.
EMBR3;Embraer S.A.
EGIE3;Engie Brasil Energia S.A.
EQTL3;Equatorial Energia S.A.
YDUQ3;Estácio Participações S.A.
HTMX11;FD Invest Imob Hotel Maxinvest
FLRY3;Fleury S.A.
BPFF11;Fundo de Investimento Imobiliario - FII Brasil Plural Absoluto Fundo de Fundos
RBRP11;Fundo Investimento Imobiliario Rbr Properties Fii
GGBR3;Gerdau S.A.
GGBR4;Gerdau S.A.
GOLL4;Gol Linhas Aéreas Inteligentes S.A.
HGBS11;HEDGE Brasil Shopping Fundo de Investimento Imobiliario
HBOR3;Helbor Empreendimentos S.A.
HYPE3;Hypera S.A.
IGTA3;Iguatemi Empresa de Shopping Centers S.A.
MEAL3;International Meal Company Alimentacao S.A.
MYPK3;Iochpe-Maxion S.A.
IRBR3;IRB-Brasil Resseguros S.A.
BOVA11;iShares Ibovespa Fundo de Índice ETF
IVVB11;iShares S&P 500 Fundo de Investimento - Investimento No Exterior
ITUB4;Itaú Unibanco Holding S.A.
ITSA4;Itaúsa - Investimentos Itaú S.A.
ITSA3;Itausa - Investimentos Itau S.A.
JBSS3;JBS S.A.
JHSF3;JHSF Participacoes S.A.
KLBN11;KLABIN S/A UNT N2
RENT3;Localiza Rent a Car S.A.
LAME4;Lojas Americanas S.A.
LREN3;Lojas Renner S.A.
MGLU3;Magazine Luiza S.A.
MRFG3;Marfrig Global Foods S.A.
MXRF11;Maxi Renda Fundo De Investimento Imobiliaro - FII
MFII11;Merito Desenvolvimento Imobiliario I FII - Fundo de Investimento Imobiliario
GOAU4;Metalurgica Gerdau S.A.
MILS3;Mills Estruturas e Servicos de Engenharia S.A.
MOVI3;Movida Participacoes S.A.
MRVE3;MRV Engenharia e Participações S.A.
MULT3;Multiplan Empreendimentos Imobiliários S.A.
NTCO3;Natura &Co Holding S.A.
NATU3;Natura Cosméticos S.A.
OIBR3;Oi S.A.
BRDT3;Petrobras Distribuidora S.A.
PETR4;Petróleo Brasileiro S.A. - Petrobras
PETR3;Petróleo Brasileiro S.A. - Petrobras
QUAL3;Qualicorp Consultoria e Corretora de Seguros S.A.
RADL3;Raia Drogasil S.A.
RAIL3;Rumo S.A.
SQIA3;Sinqia S.A.
SMLS3;Smiles Fidelidade S.A.
SUZB3;Suzano S.A.
TASA4;Taurus Armas S.A.
TCSA3;Tecnisa S.A.
VIVT4;Telefônica Brasil S.A.
TIMP3;TIM Participações S.A.
TOTS3;TOTVS S.A.
TAEE11;Transmissora Aliança de Energia Elétrica S.A.
UGPA3;Ultrapar Participações S.A.
USIM5;Usinas Siderúrgicas de Minas Gerais S.A.
VALE3;Vale S.A.
VLID3;Valid Solucoes S.A.
VVAR3;Via Varejo S.A.
VILG11;Vinci Logistica Fundo Investimento Imobiliario FII
VIVA3;Vivara Participacoes S.A.
WEGE3;WEG S.A.
WIZS3;Wiz Solucoes e Corretagem de Seguros S.A.
